IKL,2019,2020,2021,2022,2023
Artikel: Övrigt vetenskapligt,30,32,25,16,26
Artikel: Refereegranskat,59,68,84,50,74
Kapitel: Övrigt vetenskapligt,61,86,64,43,49
Kapitel: Refereegranskat,19,25,40,27,30
Bok,12,11,9,10,5
Doktorsavhandlingar,3,4,9,4,2
Licentiatavhandlingar,0,0,0,1,0
Proceedings (redaktörskap),0,0,0,0,1
Publicerade konferenspaper,5,13,1,1,6
Rapport,5,2,4,2,3
Samlingsverk (redaktörskap),11,15,11,11,18
