PublicationType,2019,2020,2021,2022,2023
Artikel: Övrigt vetenskapligt,84,82,65,60,58
Artikel: Refereegranskat,219,223,239,259,277
Kapitel: Övrigt vetenskapligt,145,194,156,128,101
Kapitel: Refereegranskat,83,77,120,77,69
Bok,22,25,23,20,25
Doktorsavhandlingar,9,12,18,12,11
Licentiatavhandlingar,2,0,2,2,0
Proceedings (redaktörskap),0,0,0,1,1
Publicerade konferenspaper,16,29,14,13,28
Rapport,24,18,23,17,18
Samlingsverk (redaktörskap),29,37,32,31,32
