NMT,2019,2020,2021,2022,2023
Artikel: Övrigt vetenskapligt,4,2,1,1,1
Artikel: Refereegranskat,44,29,22,33,39
Kapitel: Övrigt vetenskapligt,5,4,2,7,1
Kapitel: Refereegranskat,4,5,8,4,1
Bok,0,1,0,0,2
Doktorsavhandlingar,3,2,1,2,1
Licentiatavhandlingar,1,0,0,0,0
Publicerade konferenspaper,8,11,8,8,12
Rapport,4,2,2,3,4
Samlingsverk (redaktörskap),0,1,2,3,0
