ISV,2019,2020,2021,2022,2023
Artikel: Övrigt vetenskapligt,15,16,14,18,13
Artikel: Refereegranskat,93,85,96,116,128
Kapitel: Övrigt vetenskapligt,43,48,41,42,22
Kapitel: Refereegranskat,37,25,48,19,11
Bok,6,5,4,3,7
Doktorsavhandlingar,1,5,6,2,4
Licentiatavhandlingar,0,0,1,1,0
Proceedings (redaktörskap),0,0,0,1,0
Publicerade konferenspaper,2,4,5,0,3
Rapport,16,11,14,8,8
Samlingsverk (redaktörskap),11,9,10,7,6
